### DEALER: I MOTORSPORTS INC 2150754
Brand	Sales This Year	Sales Last Year
YUASA	43970.56	49345.98
YOSHIMURA	12484.11	718.34
SHINKO	7944.49	6708.86
DUNLOP	7381.98	20131.98
FIRE POWER	2600.79	1920.69
NGK	2152.94	2708.86
AQUACART	1299.95	0.00
HIGHWAY 21	1240.49	92.35
NEW RAGE CYCLES	1136.88	0.00
EBC	1100.22	1052.15
BATTERY TENDER	979.68	1455.34
CARDO	892.80	830.07
REKLUSE RACING	790.30	0.00
BRIDGESTONE	762.82	0.00
HIFLOFILTRO	627.34	1150.77
FIRST ALERT	578.16	0.00
BEL-RAY	487.14	1307.49
ALL BALLS	481.13	461.27
BREMBO	453.96	0.00
COUNTERACT	416.97	539.96
FMF	359.98	0.00
MAXIMA	328.30	0.00
LUCAS	321.20	454.14
K&L	246.18	260.30
RED BULL	244.15	225.20
HARDDRIVE	231.27	777.07
VP RACING	223.92	0.00
VORTEX	217.29	219.46
LINDBY	208.95	0.00
BIKE SPIRITS	200.16	0.00
SCORPION EXO	198.18	1247.50
FLO MOTORSPORTS	195.92	0.00
SCOTT	175.50	39.00
RST	140.24	813.88
EK	127.19	0.00
SP CONNECT	119.89	0.00
FLY RACING	118.93	1507.03
SEDONA	77.88	12.05
QUANTUM	77.39	0.00
PATHFINDER	77.00	45.44
ANCRA	75.96	0.00
PSR	52.99	154.98
MOTOREX	50.82	0.00
100-PERCENT	45.44	0.00
ANTIGRAVITY	36.16	394.58
WILCOX	30.89	0.00
BRAKING	28.31	0.00
WPS	24.29	0.00
COMETIC	18.58	23.35
MOTION PRO	18.22	45.54
GMAX	15.37	7349.98
IRC	13.79	129.57
JAMES GASKETS	3.50	0.00
MICHELIN	0.00	611.04
ATHENA	0.00	169.62
D.I.D	0.00	106.17
RICKS	0.00	182.98
GOODRIDGE	0.00	56.92
VERTEX	0.00	154.67
KEITI	0.00	135.54
K&S	0.00	8.69
K&N	0.00	69.99
SKF	0.00	56.80
PUIG	0.00	79.74
STA-BIL	0.00	127.80
TBR	0.00	1381.98
MAXXIS	0.00	637.92
ARNOTT	0.00	1031.41
ALPINESTARS	0.00	524.96
JT	0.00	32.91
TWIN AIR	0.00	37.74
PERMATEX	0.00	121.84
RATIO RITE	0.00	3.70
MECHANICS	0.00	71.88
MBRP	0.00	495.16
PROX	0.00	54.15
SAWICKI	0.00	660.00
COBRA	0.00	255.49

### DEALER: NIELSEN'S ENTERPRISES 83100
Brand	Sales This Year	Sales Last Year
YUASA	10406.03	14993.00
MICHELIN	6914.88	6081.06
DUNLOP	4802.25	4322.94
100-PERCENT	4092.62	0.00
YOSHIMURA	3931.44	840.33
FLY RACING	3900.78	2325.23
KFI	2952.99	35071.01
FIRE POWER	1881.38	2175.41
MAXIMA	1725.21	1786.63
MAXXIS	1283.19	964.19
FOX	1114.99	0.00
ATLANTIS	834.38	659.80
RIVA	799.51	78.99
D.I.D	797.05	172.10
STRAIGHTLINE	691.31	914.60
SHINKO	656.30	1089.45
SOLAS	651.88	221.11
PUIG	635.16	79.74
WOODYS	620.13	596.25
BATTERY TENDER	602.41	3049.72
NGK	600.22	836.42
EBC	585.37	792.15
SP1	583.30	1191.64
EVS	468.00	545.08
PJ1	464.40	734.40
MBRP	432.69	503.95
NATIONAL CYCLE	404.92	0.00
PSR	375.86	151.88
IRC	327.67	325.86
FIRESTIK	313.99	541.18
ALL BALLS	290.40	722.30
MOTION PRO	269.30	197.07
GRUNGE BRUSH	232.21	148.60
RST	230.98	0.00
QUANTUM	224.98	89.99
VORTEX	211.38	0.00
EPI	198.72	198.02
WPS	194.85	94.82
POWERTYE	193.65	94.25
WISECO	175.92	33.10
CLASSIC ACC.	160.99	0.00
RICKS	160.25	0.00
VENOM PRODUCTS	145.83	68.26
KPMI	140.14	0.00
RED LINE	129.75	98.61
NEW RAGE CYCLES	122.81	175.44
SUPERCADDY	119.96	0.00
STRIDER	111.79	0.00
SLIPSTREAMER	104.99	0.00
MIKUNI	103.97	37.59
SLP	96.71	103.48
HELIX	95.94	63.96
TACK STRAP	91.96	0.00
K&L	91.17	79.47
SLYDOG	90.98	0.00
MOTO TASSINARI	89.98	0.00
SHOGUN	85.99	0.00
WARN	81.39	495.58
RATIO RITE	70.30	37.00
FROGZ SKIN	64.96	64.96
WILLIE & MAX	56.99	0.00
PPD	55.78	0.00
OPEN TRAIL	50.51	1413.62
PERMATEX	40.20	82.32
ODI	36.96	92.24
XTRA SEAL	34.78	0.00
GARLAND	34.18	246.08
CALIBER	33.99	996.80
CURT	30.32	0.00
SEDONA	30.17	455.86
HARDLINE	29.07	89.76
VP RACING	28.36	1.52
SHINDY	27.99	0.00
BTL DESIGNS	25.99	0.00
TWIN AIR	25.86	0.00
NORREC	22.46	0.00
MIDWEST CAN	15.98	77.46
HIFLOFILTRO	11.20	0.00
VERTEX	6.96	28.42
POWERMADD	0.00	243.40
STUD BOY	0.00	90.99
WSM	0.00	184.26
SCORPION EXO	0.00	2359.32
RAM	0.00	64.20
K&N	0.00	60.67
EMGO	0.00	-1.60
GO CRUISE	0.00	52.76
CAMSO	0.00	63.12
PRO ARMOR	0.00	33.49
ITP	0.00	260.94
FMF	0.00	173.95
JUSTSAIL	0.00	144.35
FIMCO	0.00	723.97
NAMURA	0.00	100.28
WIZARDS	0.00	11.29
UNIT	0.00	6.89
UNI	0.00	31.08

### DEALER: CB PERFORMANCE PARTS 2150319
Brand	Sales This Year	Sales Last Year
CAMSO	59158.51	186032.91
WOODYS	31234.66	11919.24
GARLAND	2161.40	3990.82
HARDLINE	1142.20	0.00
GMAX	910.49	445.74
STUD BOY	830.85	1871.15
FLY RACING	816.86	423.94
KOLPIN	538.98	0.00
POWERMADD	299.20	0.00
XTC POWER PRODUCTS	294.99	0.00
RST	230.98	0.00
YUASA	219.17	186.00
PPD	204.46	539.46
NGK	198.78	0.00
ULTIMAX	140.81	1026.41
CIPA	137.00	51.00
SP1	95.50	125.55
VP RACING	86.95	0.00
MOTO TASSINARI	48.75	0.00
FIRE POWER	29.02	110.40
PERFORMANCE TOOL	0.00	213.62
UCLEAR	0.00	661.60
SLP	0.00	359.98
MOTION PRO	0.00	48.99
WISECO	0.00	282.87
DSS	0.00	42.01
WAHL BROS	0.00	155.98
SOLAS	0.00	37.09
OTTP	0.00	48.99
SEDONA	0.00	1351.96
AWC	0.00	18.99
ITP	0.00	28.60
VERTEX	0.00	56.27

